,Index,ExpirationDate,CallsLastPrice,CallsChange,CallsChangePct,CallsVolume,CallsOI,Strike,PutsLastPrice,PutsChange,PutsChangePct,PutsVolume,PutsOI,last_price_link,change_link,change_link.1,volume_link,open_interest_link,strike_link,last_price_link.1,change_link.2,change_link.3,volume_link.1,open_interest_link.1
0,0,2016-11-04,32.36,0.00,0.00%,10,8,185.0,0.01,0.00,0.00%,"5,190","12,396",,,,,,/quote/SPY/options?strike=185&straddle=true,,,,,
1,1,2016-11-04,23.95,-0.55,-2.24%,10,47,190.0,0.01,0.00,0.00%,402,"7,510",,,,,,/quote/SPY/options?strike=190&straddle=true,,,,,
7,7,2016-11-04,18.62,0.21,1.14%,5,39,195.0,0.01,0.00,0.00%,"5,066","9,880",,,,,,/quote/SPY/options?strike=195&straddle=true,,,,,
10,10,2016-11-04,15.93,0.00,0.00%,10,111,196.5,0.02,0.01,100.00%,516,"6,187",,,,,,/quote/SPY/options?strike=196.5&straddle=true,,,,,
11,11,2016-11-04,14.80,0.00,0.00%,10,0,197.0,0.01,0.00,0.00%,1,"14,144",,,,,,/quote/SPY/options?strike=197&straddle=true,,,,,
12,12,2016-11-04,18.25,0.00,0.00%,30,40,197.5,0.01,0.00,0.00%,4,"5,995",,,,,,/quote/SPY/options?strike=197.5&straddle=true,,,,,
13,13,2016-11-04,15.66,-0.59,-3.63%,20,38,198.0,0.01,0.00,0.00%,10,"12,462",,,,,,/quote/SPY/options?strike=198&straddle=true,,,,,
14,14,2016-11-04,15.21,0.00,0.00%,10,71,198.5,0.01,0.00,0.00%,4,"4,414",,,,,,/quote/SPY/options?strike=198.5&straddle=true,,,,,
15,15,2016-11-04,13.55,0.00,0.00%,2,108,199.0,0.01,-0.01,-50.00%,6,"6,201",,,,,,/quote/SPY/options?strike=199&straddle=true,,,,,
16,16,2016-11-04,15.35,0.00,0.00%,45,97,199.5,0.02,0.00,0.00%,20,"2,341",,,,,,/quote/SPY/options?strike=199.5&straddle=true,,,,,
17,17,2016-11-04,14.70,-0.23,-1.54%,2,336,200.0,0.02,0.00,0.00%,9,"38,465",,,,,,/quote/SPY/options?strike=200&straddle=true,,,,,
18,18,2016-11-04,12.32,0.00,0.00%,19,199,201.0,0.01,0.00,0.00%,13,"7,522",,,,,,/quote/SPY/options?strike=201&straddle=true,,,,,
19,19,2016-11-04,12.03,-0.10,-0.82%,2,171,202.0,0.01,-0.01,-50.00%,34,"21,327",,,,,,/quote/SPY/options?strike=202&straddle=true,,,,,
20,20,2016-11-04,11.64,0.00,0.00%,2,94,202.5,0.02,0.00,0.00%,333,"5,165",,,,,,/quote/SPY/options?strike=202.5&straddle=true,,,,,
21,21,2016-11-04,12.10,0.00,0.00%,1,5,203.0,0.02,0.00,0.00%,26,"15,540",,,,,,/quote/SPY/options?strike=203&straddle=true,,,,,
22,22,2016-11-04,10.12,0.00,0.00%,11,92,204.0,0.01,-0.01,-50.00%,84,"7,183",,,,,,/quote/SPY/options?strike=204&straddle=true,,,,,
23,23,2016-11-04,9.33,-0.55,-5.57%,11,121,205.0,0.02,0.00,0.00%,"9,805","12,485",,,,,,/quote/SPY/options?strike=205&straddle=true,,,,,
24,24,2016-11-04,8.62,0.00,0.00%,24,33,205.5,0.02,0.00,0.00%,556,"18,954",,,,,,/quote/SPY/options?strike=205.5&straddle=true,,,,,
25,25,2016-11-04,8.43,-0.44,-4.96%,16,426,206.0,0.03,0.00,0.00%,63,"13,323",,,,,,/quote/SPY/options?strike=206&straddle=true,,,,,
26,26,2016-11-04,6.87,0.00,0.00%,19,102,206.5,0.03,0.00,0.00%,"1,952","5,113",,,,,,/quote/SPY/options?strike=206.5&straddle=true,,,,,
27,27,2016-11-04,7.28,-0.63,-7.96%,60,739,207.0,0.04,0.01,33.33%,169,"14,794",,,,,,/quote/SPY/options?strike=207&straddle=true,,,,,
28,28,2016-11-04,6.44,0.16,2.55%,22,571,207.5,0.03,-0.01,-25.00%,55,"7,988",,,,,,/quote/SPY/options?strike=207.5&straddle=true,,,,,
29,29,2016-11-04,6.38,-0.50,-7.27%,71,471,208.0,0.05,0.00,0.00%,378,"34,066",,,,,,/quote/SPY/options?strike=208&straddle=true,,,,,
30,30,2016-11-04,5.54,-0.25,-4.32%,46,963,208.5,0.06,0.01,20.00%,317,"18,749",,,,,,/quote/SPY/options?strike=208.5&straddle=true,,,,,
31,31,2016-11-04,5.78,-0.15,-2.53%,33,"2,545",209.0,0.07,0.01,16.67%,730,"21,830",,,,,,/quote/SPY/options?strike=209&straddle=true,,,,,
32,32,2016-11-04,5.29,0.06,1.15%,99,"2,641",209.5,0.09,0.01,12.50%,354,"9,798",,,,,,/quote/SPY/options?strike=209.5&straddle=true,,,,,
33,33,2016-11-04,4.25,-0.75,-15.00%,338,"3,072",210.0,0.12,0.04,50.00%,"4,600","42,962",,,,,,/quote/SPY/options?strike=210&straddle=true,,,,,
34,34,2016-11-04,3.78,-0.73,-16.19%,45,"1,680",210.5,0.17,0.05,41.67%,456,"10,579",,,,,,/quote/SPY/options?strike=210.5&straddle=true,,,,,
35,35,2016-11-04,3.51,-0.41,-10.46%,162,"4,367",211.0,0.21,0.06,40.00%,"5,527","38,873",,,,,,/quote/SPY/options?strike=211&straddle=true,,,,,
36,36,2016-11-04,2.92,-0.66,-18.44%,219,"3,443",211.5,0.27,0.08,42.11%,965,"11,117",,,,,,/quote/SPY/options?strike=211.5&straddle=true,,,,,
37,37,2016-11-04,2.50,-0.53,-17.49%,511,"4,989",212.0,0.33,0.10,43.48%,"10,240","41,742",,,,,,/quote/SPY/options?strike=212&straddle=true,,,,,
38,38,2016-11-04,2.07,-0.52,-20.08%,"1,163","4,839",212.5,0.46,0.16,53.33%,"2,140","17,399",,,,,,/quote/SPY/options?strike=212.5&straddle=true,,,,,
39,39,2016-11-04,1.66,-0.54,-24.55%,"4,842","8,644",213.0,0.54,0.16,42.11%,"17,434","46,974",,,,,,/quote/SPY/options?strike=213&straddle=true,,,,,
40,40,2016-11-04,1.38,-0.43,-23.76%,"6,559","13,193",213.5,0.70,0.20,40.00%,"5,312","33,920",,,,,,/quote/SPY/options?strike=213.5&straddle=true,,,,,
41,41,2016-11-04,1.05,-0.43,-29.05%,"41,426","16,185",214.0,0.87,0.27,45.00%,"19,692","44,503",,,,,,/quote/SPY/options?strike=214&straddle=true,,,,,
42,42,2016-11-04,0.74,-0.37,-33.33%,"9,563","8,199",214.5,1.08,0.33,44.00%,"16,909","21,381",,,,,,/quote/SPY/options?strike=214.5&straddle=true,,,,,
43,43,2016-11-04,0.52,-0.30,-36.59%,"14,312","24,671",215.0,1.38,0.46,50.00%,"10,384","42,624",,,,,,/quote/SPY/options?strike=215&straddle=true,,,,,
44,44,2016-11-04,0.35,-0.21,-37.50%,"3,126","19,677",215.5,1.68,0.44,35.48%,"3,600","5,961",,,,,,/quote/SPY/options?strike=215.5&straddle=true,,,,,
45,45,2016-11-04,0.22,-0.13,-37.14%,"4,614","23,288",216.0,2.10,0.61,40.94%,"3,928","9,800",,,,,,/quote/SPY/options?strike=216&straddle=true,,,,,
46,46,2016-11-04,0.12,-0.09,-42.86%,"6,503","12,463",216.5,2.45,0.59,31.72%,884,"3,241",,,,,,/quote/SPY/options?strike=216.5&straddle=true,,,,,
47,47,2016-11-04,0.07,-0.05,-41.67%,"2,922","17,794",217.0,3.00,0.76,33.93%,796,"11,713",,,,,,/quote/SPY/options?strike=217&straddle=true,,,,,
48,48,2016-11-04,0.04,-0.03,-42.86%,498,"5,881",217.5,3.11,0.37,13.50%,428,"1,144",,,,,,/quote/SPY/options?strike=217.5&straddle=true,,,,,
49,49,2016-11-04,0.02,-0.02,-50.00%,223,"44,936",218.0,4.00,0.83,26.18%,"1,796","1,736",,,,,,/quote/SPY/options?strike=218&straddle=true,,,,,
50,50,2016-11-04,0.01,-0.02,-66.67%,69,"6,069",218.5,4.22,0.73,20.92%,158,"1,008",,,,,,/quote/SPY/options?strike=218.5&straddle=true,,,,,
51,51,2016-11-04,0.02,0.00,0.00%,139,"21,904",219.0,4.30,-0.73,-14.51%,1,"1,771",,,,,,/quote/SPY/options?strike=219&straddle=true,,,,,
52,52,2016-11-04,0.02,0.01,100.00%,3,"17,972",219.5,4.70,0.00,0.00%,14,471,,,,,,/quote/SPY/options?strike=219.5&straddle=true,,,,,
